iter;num_air;num_per;cost_e;cost_h;cost_prop;time_e;time_h;time_prop;status_e;status_h
44;5;15;7987.038725;7987.038725;1;0.857449055;0.160141945;5.354306489;OPTIMAL;OPTIMAL
45;5;15;5615.527997;5615.527997;1;1.020824909;0.276712894;3.68911218;OPTIMAL;OPTIMAL
46;5;15;11255.92614;11255.92614;1;0.881651878;0.186645031;4.723682563;OPTIMAL;OPTIMAL
47;5;15;7311.83997;7311.83997;1;0.734567881;0.266807079;2.753179873;OPTIMAL;OPTIMAL
48;5;15;14969.604;17371.50932;1.160452162;0.687654972;0.181544065;3.787813004;OPTIMAL;OPTIMAL
49;5;15;13998.83481;13998.83481;1;0.829164982;0.245699167;3.374716289;OPTIMAL;OPTIMAL
50;5;15;6844.545128;6844.545128;1;0.543375015;0.220673084;2.462352928;OPTIMAL;OPTIMAL
51;5;15;14699.51735;14699.51735;1;0.63065505;0.180140972;3.500897341;OPTIMAL;OPTIMAL
52;5;15;7429.144457;7429.144457;1;0.828586102;0.170134068;4.870195097;OPTIMAL;OPTIMAL
53;5;15;31630.60038;31630.60038;1;1.393142939;0.152132034;9.157459473;OPTIMAL;OPTIMAL
54;5;15;10689.81152;10689.81152;1;0.48705101;0.197190046;2.46995738;OPTIMAL;OPTIMAL
55;5;15;20053.73525;20053.73525;1;1.291025162;0.162643909;7.93774059;OPTIMAL;OPTIMAL
56;5;15;9175.929806;9175.929806;1;0.712234974;0.200813055;3.546756329;OPTIMAL;OPTIMAL
57;5;15;54231.27943;NA;NA;2.354752064;0.307218075;7.664757568;OPTIMAL;INFEASIBLE
58;5;15;13474.42517;13564.42517;1.00667932;0.930541039;0.25739193;3.615268901;OPTIMAL;OPTIMAL
59;5;15;20457.02467;20577.02467;1.005865956;0.827811003;0.251194;3.295504677;OPTIMAL;OPTIMAL
60;5;15;12094.48119;12304.48119;1.017363291;0.640007973;0.210175991;3.045105055;OPTIMAL;OPTIMAL
61;5;15;9297.85881;9297.85881;1;0.605473042;0.158162117;3.828179927;OPTIMAL;OPTIMAL
62;5;15;7738.201971;7738.201971;1;0.597674131;0.201165915;2.971050701;OPTIMAL;OPTIMAL
63;5;15;38855.48216;NA;NA;0.828686953;4.334242105;0.191195354;OPTIMAL;INFEASIBLE
64;5;15;16304.93896;16304.93896;1;0.638592005;0.285057068;2.240225122;OPTIMAL;OPTIMAL
65;5;15;12662.30269;12782.30269;1.009476949;1.006270885;0.241190195;4.172105276;OPTIMAL;OPTIMAL
66;5;15;12802.58265;12862.58265;1.004686554;0.872774124;0.156116962;5.590514385;OPTIMAL;OPTIMAL
67;5;15;30906.27141;NA;NA;6.401983023;0.112581968;56.86508345;OPTIMAL;INFEASIBLE
68;5;15;14891.6101;14891.6101;1;0.790676117;0.218173027;3.624078227;OPTIMAL;OPTIMAL
69;5;15;8677.876762;8677.876762;1;0.645658016;0.128654003;5.018561416;OPTIMAL;OPTIMAL
70;5;15;12293.64629;12293.64629;1;0.845762968;0.164160013;5.15206445;OPTIMAL;OPTIMAL
71;5;15;34002.2903;34152.2903;1.004411468;1.583325863;0.287223101;5.512529665;OPTIMAL;OPTIMAL
72;5;15;12551.7056;23934.30091;1.906856461;0.595514059;0.154145956;3.863312891;OPTIMAL;OPTIMAL
73;5;15;10886.80392;10886.80392;1;0.589687824;0.249696016;2.361622876;OPTIMAL;OPTIMAL
74;5;15;19923.5546;20013.5546;1.004517266;1.070196152;0.250423908;4.273538255;OPTIMAL;OPTIMAL
75;5;15;13525.66142;NA;NA;0.5610919;4.218081951;0.133020626;OPTIMAL;INFEASIBLE
