iter;num_air;num_per;cost;time;status;method
87;5;10;14563.6186;0.316294909;OPTIMAL;Exact
88;5;10;12903.91715;0.381204844;OPTIMAL;Exact
89;5;10;11676.57151;0.303788185;OPTIMAL;Exact
90;5;10;20974.38637;0.457500935;OPTIMAL;Exact
91;5;10;11012.09383;0.285235882;OPTIMAL;Exact
92;5;10;9048.679494;0.411087036;OPTIMAL;Exact
93;5;10;11055.79943;0.377320051;OPTIMAL;Exact
94;5;10;14878.16928;0.397345066;OPTIMAL;Exact
95;5;10;9928.672801;0.371804953;OPTIMAL;Exact
96;5;10;10757.01749;0.32189703;OPTIMAL;Exact
97;5;10;17655.34717;0.332250834;OPTIMAL;Exact
98;5;10;4891.044717;0.357460022;OPTIMAL;Exact
99;5;10;17859.01686;0.412018061;OPTIMAL;Exact
100;5;10;10977.48373;0.29022193;OPTIMAL;Exact
1;5;15;19073.86473;0.70549202;OPTIMAL;Exact
2;5;15;15123.65133;0.835755825;OPTIMAL;Exact
3;5;15;15449.90346;0.826452971;OPTIMAL;Exact
4;5;15;12183.97684;0.836608171;OPTIMAL;Exact
5;5;15;45634.54731;1.507329941;OPTIMAL;Exact
6;5;15;30171.14897;0.928247929;OPTIMAL;Exact
7;5;15;13023.381;0.632847071;OPTIMAL;Exact
8;5;15;6282.332276;0.558925867;OPTIMAL;Exact
9;5;15;10952.86881;0.697824001;OPTIMAL;Exact
10;5;15;7642.400627;1.129776001;OPTIMAL;Exact
11;5;15;23610.05637;0.812144995;OPTIMAL;Exact
12;5;15;17242.09725;0.566758156;OPTIMAL;Exact
13;5;15;11990.42213;0.714678049;OPTIMAL;Exact
14;5;15;13802.20342;0.590945959;OPTIMAL;Exact
15;5;15;14580.11248;0.546129942;OPTIMAL;Exact
16;5;15;25536.98385;1.120616198;OPTIMAL;Exact
17;5;15;9959.266598;0.536478996;OPTIMAL;Exact
18;5;15;10857.63467;0.879908085;OPTIMAL;Exact
19;5;15;10302.44003;0.572638988;OPTIMAL;Exact
20;5;15;13858.51671;0.718193054;OPTIMAL;Exact
21;5;15;20623.44752;0.510539055;OPTIMAL;Exact
22;5;15;7271.554401;0.65555501;OPTIMAL;Exact
23;5;15;10555.75029;0.517049789;OPTIMAL;Exact
24;5;15;30630.49568;1.002013922;OPTIMAL;Exact
25;5;15;8614.335834;0.555643082;OPTIMAL;Exact
26;5;15;10180.33363;0.59348011;OPTIMAL;Exact
27;5;15;9433.221264;0.677400827;OPTIMAL;Exact
28;5;15;30588.24255;1.133892059;OPTIMAL;Exact
29;5;15;8246.092774;0.709553003;OPTIMAL;Exact
30;5;15;6079.844952;0.568338871;OPTIMAL;Exact
31;5;15;14735.91572;0.512109995;OPTIMAL;Exact
32;5;15;6899.124769;0.65736413;OPTIMAL;Exact
33;5;15;26169.95735;0.758630991;OPTIMAL;Exact
34;5;15;8426.34224;1.159013033;OPTIMAL;Exact
35;5;15;46629.3844;1.129820108;OPTIMAL;Exact
36;5;15;12757.44384;0.954185009;OPTIMAL;Exact
37;5;15;17705.08786;1.466545105;OPTIMAL;Exact
38;5;15;23040.8734;0.70306015;OPTIMAL;Exact
39;5;15;10805.39608;0.946197033;OPTIMAL;Exact
40;5;15;9543.977301;0.739558935;OPTIMAL;Exact
41;5;15;10856.20721;1.424169064;OPTIMAL;Exact
42;5;15;18089.95445;0.698585033;OPTIMAL;Exact
43;5;15;14364.7622;0.7545681;OPTIMAL;Exact
44;5;15;7987.038725;0.857449055;OPTIMAL;Exact
45;5;15;5615.527997;1.020824909;OPTIMAL;Exact
46;5;15;11255.92614;0.881651878;OPTIMAL;Exact
47;5;15;7311.83997;0.734567881;OPTIMAL;Exact
48;5;15;14969.604;0.687654972;OPTIMAL;Exact
